State,range,rate,number,Year
WI,13.6 to 16.0,15,856,2013
VT,13.6 to 16.0,15.1,93,2013
NH,13.6 to 16.0,15.1,203,2013
CO,13.6 to 16.0,15.5,846,2013
MI,13.6 to 16.0,15.9,"1,553",2013
CT,13.6 to 16.0,16,582,2013
MA,13.6 to 16.0,16,"1,081",2013
IN,16.1 to 18.5,16.6,"1,064",2013
WY,16.1 to 18.5,17.2,98,2013
MO,16.1 to 18.5,17.5,"1,025",2013
LA,16.1 to 18.5,17.8,809,2013
TN,16.1 to 18.5,18.1,"1,187",2013
AZ,18.6 to 21.0,18.7,"1,222",2013
DE,18.6 to 21.0,18.7,166,2013
PA,18.6 to 21.0,19.4,"2,426",2013
OK,18.6 to 21.0,20.6,790,2013
OH,18.6 to 21.0,20.8,"2,347",2013
NV,21.0 to 35.5,21.1,614,2013
UT,21.0 to 35.5,22.1,594,2013
RI,21.0 to 35.5,22.4,241,2013
NM,21.0 to 35.5,22.6,458,2013
KY,21.0 to 35.5,23.7,"1,019",2013
WV,21.0 to 35.5,32.2,570,2013
